2       10      10      9,80156428735762
3       10      10      9,80088636910065
4       10      10      9,795650444632939
5       10      10      9,72819266325926
6       10      10      9,726795542900424
7       10      10      9,730428879099968
8       10      10      9,71357532079171
9       10      10      9,713452024269019
10      10      10      9,708749733998722
11      10      10      9,69794001765694
12      10      10      9,724720367873934
13      10      10      9,727582604620707
14      10      10      9,68332313630637
15      10      10      9,694738827270452
16      10      10      9,666458743644945
17      10      10      9,675182190444957
18      10      10      9,718070152765211
19      10      10      9,714779580952628
20      10      10      9,706955995888933
21      10      10      9,715621959788312
22      10      10      9,687163088755286
23      10      10      9,712144398316111
24      10      10      9,722977773198165
25      10      10      9,702583749804234
26      10      10      9,719631593881939
27      10      10      9,731802437713604
28      10      10      9,722450563045966
29      10      10      9,702836279073418
30      10      10      9,70148283275919
