2       10      10      5,278105000033975
3       10      10      10,03169866775473
4       10      10      4,353822249919176
5       10      10      7,8516750007867815
6       10      10      7,953923333436251
7       10      10      7,186821857201202
8       10      10      7,154989874456078
9       10      10      6,232045333418581
10      10      10      4,866092799976468
11      10      10      7,8609652719037095
12      10      10      7,070396250113845
13      10      10      7,091699616553692
14      10      10      6,0169547857450585
15      10      10      7,486691333601872
16      10      10      7,699029938085005
17      10      10      9,348444353131686
18      10      10      8,157344555275309
19      10      10      8,769894790296492
20      10      10      9,217778249830008
21      10      10      7,19573933382829
22      10      10      9,447137772359632
23      10      10      7,442426825833062
24      10      10      4,937063165940344
25      10      10      6,918882399946451
26      10      10      8,03841449965078
27      10      10      7,912919370388543
28      10      10      6,81971221403884
29      10      10      9,153609586558465
30      10      10      6,866658199454347
