74923,299508088
21944,895112
97702,298619197
62960,2644005
40166,296492527
56348,2382227
89451,3671562
95061,301073869
402,14666
71688,298311641
46189,1926670
92161,671829194
69560,300636979
82652,1451746581
39000,1596003
31167,1330225
88022,305465432
81324,2275437823
15456,616890
70779,764517803
85889,394704702
82432,1131754456
88952,3729340
65371,399365155
39664,768924923
40266,1135883797
66801,2350982846
70673,2942227
13933,563557
34241,1432892
95918,1431701212
37321,1575558
28309,1186225
34132,386534909
29708,1279557
39600,1643559
56015,2296893
4979,196889
12475,527556
34865,385892242
22913,972446
11879,520890
27328,1139557
45117,1851559
52990,388123801
91561,1132996681
86187,387971801
75339,1129940231
35331,385618463
34114,1396447
47541,2092004
72147,2975560
72611,389839360
19270,956002
54145,2246226
7929,327112
80530,389563804
78493,1131132233
6565,300890
50958,390492694
86575,3982229
913,68445
99529,392572698
58226,2336004
81871,389981138
76141,3203561
97624,391439807
51597,2144004
15931,1057330324
44641,383357126
55161,2300004
49888,2147560
33021,381612678
2682,377845116
37846,1545781
24349,1006669
25198,1019113
8520,339111
11226,444001
56103,2304004
99285,386225576
56866,2335115
740,28889
54854,385512685
47058,1921781
70389,2882672
92126,389663359
23327,945779
8781,346668
44873,387522911
19210,779557
89929,3725340
54849,385863797
31657,755823566
97497,384279795
66027,2743561
66757,384458017
68961,2650227
8404,385874908
54386,383127793
95054,3948896
30053,1192891
73022,385401130
89497,3264894
47637,384514906
40383,1758225
54840,2295115
26826,381839346
22756,856446
27115,1025780
34189,1338669
63882,2694228
95313,387857578
56391,2395560
2639,96445
47241,389075359
70040,2776894
18765,689187892
86022,391877141
18986,768446
32301,1321336
25439,1133780
82303,393825589
16209,652890
4661,184000
1439,55556
22734,959558
15005,600890
25848,977335
49822,392549143
69841,2760450
23420,905335
35172,389877138
22470,846224
45513,2521783
72678,393167811
88592,3432895
98479,395709148
96001,1436454998
16122,393507366
56987,389122469
15655,585779
2399,89778
86196,3845340
93561,390957584
11253,420001
98071,305320988
50686,1930225
55901,302434760
11287,419556
75845,3348895
99393,307173880
23486,991557
2312,116445
21124,875557
37931,299419199
29690,1296891
34851,1487114
26573,1564892
61975,2168070521
81991,1061616109
90075,3720896
91916,710388818
88959,706004810
95044,1073680131
48034,1929336
27479,1074669
73088,312605001
39096,1520003
67414,2610227
91883,1445303903
78489,309730328
618,41778
17921,302440982
71401,2814672
33317,299808533
42496,1802670
19543,810668
54896,691210562
8497,349779
20085,806668
90241,773509820
54069,2159115
73554,372829551
93825,369908657
18578,763681802
38276,1511432465
19915,789780
27524,1192447
28338,1152891
1025,368949989
88264,1506948457
42749,1776892
44706,362335311
27557,1206225
64195,2658227
21629,358956193
59872,353557517
11664,513334
43573,1814670
24483,349652178
97043,3793785
31913,1260446
389,32889
44647,1832003
47132,353580628
1652,96000
29766,1247113
45508,1862226
59800,352488627
42752,1736448
93544,750476445
92899,3948007
18781,361401976
5104,340445
56953,2292448
3939,180890
26128,1110224
29431,1185780
14166,600890
66591,749579555
70725,2904005
36974,1121685550
15802,628446
66850,1414243847
53604,2295115
41397,1952003
74606,356807746
5081,235112
9958,493335
98205,4202674
43117,357510414
36202,1514224
24847,978224
29413,1147558
60977,2536449
34753,358371304
75933,3074227
61249,357093524
78746,3204894
51885,358132193
56058,2344449
38824,1508891
21196,833779
48067,355207742
99692,4019118
15572,353068183
32828,1289780
32062,1260002
51830,2157338
72786,354644631
61091,2665783
60808,355070854
69086,350110844
29448,1189780
61957,2517800920
90464,353533518
41083,351582402
75072,2958672
40140,1636003
55642,1051547202
41954,1663559
59834,355059743
91051,353300183
38994,1503558
18607,736001
40628,351833959
30719,1235113
84023,3630673
65200,353304184
45550,1838225
74732,352171737
22034,904001
80703,1059835662
7121,300000
71556,353526851
19556,805780
35890,345729504
45855,1852448
7789,323112
48046,1939115
95460,350066401
9749,395556
97962,343395722
2617,648306486
80124,1416824297
15275,665779
66522,2654227
94709,342869943
3056,161333
51030,341725940
78482,341399274
64880,2665783
98755,344753502
46848,644587813
27807,345752614
1104,75556
63954,2566227
26776,1084002
3264,168000
45772,273120041
53982,2154670
69031,655682499
1122,95111
81162,3415561
79326,272378706
36617,2150226
15150,764446
47851,1974670
71498,281396945
35555,1383558
15538,277437382
1515,93778
37505,1568892
6662,296445
89676,1716385718
39607,1548003
22069,869779
18025,1043752967
90835,286359620
27298,2910037173
62884,1039837404
57262,2221782
25881,1013779
65019,282209835
96401,3804895
56303,282981836
91322,3603561
41693,1621336
24092,285778730
87136,3944896
15753,636002
64703,2539115
46319,279036051
92338,3670673
88996,280544499
30659,1228446
56610,282011168
91271,648345152
49492,1962670
35983,1447114
66537,4144206478
61661,2634227
2836,172889
15385,645779
13772,586223
17176,709779
14833,274588933
79641,3074672
64005,2680893
30217,1206225
74090,346686839
6251,255111
1383,92889
85970,3680006
88511,349128621
47630,343423722
15386,646223
38230,707506591
36480,341284607
85751,3439117
47042,1864003
88214,344497946
5252,265778
26265,1133780
3023,160001
90310,2145672703
62106,2417782
96364,344290834
35721,1441336
20872,820890
2106,113334
8485,348000
70876,343754389
90508,3840007
52008,343876167
13275,528890
89546,3515561
79041,707845703
83118,350883290
20380,844891
61462,1775858713
70662,2980894
26226,349845955
69549,1013113356
27035,1027113
61320,2519115
87948,348132619
33494,1444892
49273,2035115
94956,1415851405
47937,2089337
22398,891112
94824,360221974
70870,3312006
98861,1416554963
63304,715879051
24662,998224
49903,2023114
54765,1020783148
76474,709133261
49300,1944892
67804,1021095593
63928,1416516296
43232,2001337
6558,332000
56197,706852367
15808,614223
4103,156000
12333,476001
60192,2372448
57928,1018698256
77562,3064450
59412,363666869
85213,3497784
9324,379111
61509,1785524508
92444,3844451
11095,460889
93965,374652666
93370,377570005
33083,1304002
955,85333
9245,391112
39993,1413598958
36542,1548892
73375,2952450
39361,645256702
13830,571112
24995,1049336
31906,1382225
32437,1308891
11776,358738860
84138,355916633
88173,3791562
94616,1019196923
90991,3668006
86449,366174873
60628,2519115
19767,362852200
97098,655254054
39021,1531558
46376,1982670
65637,359213083
36872,1436002
18982,836891
30338,1183113
7219,354137074
80487,3154228
74550,2878228
79201,1009320017
50268,2208449
5183,266223
31809,1441781
62339,1007745347
82912,3429784
25910,1007221346
34649,1350225
59755,2427560
58214,360974419
52924,1006417345
21659,852890
87706,3468895
19138,360604196
8086,347556
23481,645190480
50211,2117781
33103,1336447
52835,2185782
5651,360004639
75805,1704782586
22112,290844962
83432,3523562
82659,290512961
47768,290977406
40334,285855175
8796,372889
15567,635557
